"Currency Name","Price","Change","Change %","Market Cap","Volume","Circulating Supply","Timestamp"
"KARASOU USD","4.9713","-0.0007","-0.01%","1.999M","115,080","402,100","2024-10-13 13:16:44"
"Mozaic USD","0.012670","-0.000166","-1.29%","2M","6,358","157.837M","2024-10-13 13:16:44"
"Horizon Protocol USD","0.016537","+0.000114","+0.69%","1.996M","142,934","120.707M","2024-10-13 13:16:45"
"Xaya USD","0.035748","-0.000227","-0.63%","1.99M","3,749","55.678M","2024-10-13 13:16:45"
"HeFi USD","0.019680","-0.000050","-0.25%","1.978M","109,353","100.494M","2024-10-13 13:16:45"
"SpaceFalcon USD","0.000113","-0.000003","-2.93%","1.975M","48,383","17.425B","2024-10-13 13:16:45"
"Coinye West USD","0.002445","+0.000068","+2.86%","1.959M","7,157","801.245M","2024-10-13 13:16:45"
"Bitcoin Standard Hashrate Token USD","0.159582","+0.003073","+1.96%","1.947M","26,163","12.201M","2024-10-13 13:16:45"
"MAGA VP USD","0.046805","-0.005782","-10.99%","1.943M","11,517","41.52M","2024-10-13 13:16:45"
"Prometheum Prodigy USD","0.003786","+0.000101","+2.73%","1.941M","179,742","512.765M","2024-10-13 13:16:45"
"Izzy USD","0.00000469","-0.00000076","-13.86%","1.919M","681,904","408.782B","2024-10-13 13:16:45"
"ROOBEE USD","0.000472","+0.000008","+1.76%","1.936M","132,069","4.102B","2024-10-13 13:16:45"
"NerveNetwork USD","0.006977","+0.000004","+0.06%","1.932M","1","276.984M","2024-10-13 13:16:45"
"saffron.finance USD","21.11","+0.30","+1.42%","1.93M","406","91,423","2024-10-13 13:16:45"
"MetalCore USD","0.004298","+0.000016","+0.37%","1.908M","34,762","443.894M","2024-10-13 13:16:45"
"Matt Furie USD","0.00000452","+0.00000002","+0.53%","1.902M","43,481","420.69B","2024-10-13 13:16:45"
"Angola USD","0.003960","-0.000041","-1.04%","1.883M","859,620","475.45M","2024-10-13 13:16:45"
"Tokes USD","0.009491","-0.000001","-0.01%","1.898M","40","200M","2024-10-13 13:16:45"
"neversol USD","0.000026","+0.000001","+3.24%","1.895M","204,890","72B","2024-10-13 13:16:45"
"Samsunspor Fan Token USD","0.729750","+0.007277","+1.01%","1.879M","74,448","2.575M","2024-10-13 13:16:45"
"Eggdog USD","0.001975","-0.000479","-19.52%","1.867M","296,611","945.335M","2024-10-13 13:16:45"
"Blink Galaxy USD","0.000315","+0.000002","+0.65%","1.871M","735,644","5.933B","2024-10-13 13:16:45"
"SHOPX USD","0.003917","+0.000005","+0.12%","1.876M","262,477","478.954M","2024-10-13 13:16:45"
"myDID USD","0.000240","-0.000001","-0.21%","1.865M","200,977","7.781B","2024-10-13 13:16:45"
"Govi USD","0.068581","+0.000192","+0.28%","1.864M","6","27.183M","2024-10-13 13:16:45"
"XRP Healthcare USD","0.026408","-0.001627","-5.80%","1.867M","24,300","70.709M","2024-10-13 13:16:45"
"PureFi Protocol USD","0.031605","-0.001240","-3.78%","1.846M","15,966","58.423M","2024-10-13 13:16:45"
"mStable Governance Token: Meta (MTA) USD","0.030320","-0.002147","-6.61%","1.841M","3,421","60.718M","2024-10-13 13:16:45"
"Gamestarter USD","0.060154","-0.000230","-0.38%","1.833M","408,567","30.465M","2024-10-13 13:16:46"
"Hillstone Finance USD","0.060884","-0.003601","-5.58%","1.827M","27","30.011M","2024-10-13 13:16:46"
"HeroesTD USD","0.008139","+0.000160","+2.01%","1.823M","259","223.976M","2024-10-13 13:16:46"
"Crypterium USD","0.019181","-0.000010","-0.05%","1.816M","0","94.658M","2024-10-13 13:16:46"
"Love Power Market USD","12.64","-0.23","-1.81%","1.814M","301,582","143,491","2024-10-13 13:16:46"
"Wrapped OKB USD","41.60","-0.99","-2.32%","1.811M","1,971","43,541","2024-10-13 13:16:46"
"Ÿ USD","0.019887","-0.001019","-4.88%","1.81M","9,012","91M","2024-10-13 13:16:57"
"BIDZ Coin USD","0.002119","+0.000032","+1.55%","1.801M","75,419","850M","2024-10-13 13:16:57"
"Juggernaut USD","0.011923","+0.000626","+5.54%","1.788M","7,416","150M","2024-10-13 13:16:57"
"SALT USD","0.014897","-0.000212","-1.40%","1.788M","18","120M","2024-10-13 13:16:57"
"Success Kid USD","0.020588","-0.000428","-2.04%","1.786M","158,322","86.743M","2024-10-13 13:16:58"
"Itheum USD","0.003672","+0.000007","+0.18%","1.786M","2,971","486.44M","2024-10-13 13:16:58"
"Cookie USD","0.020612","+0.000431","+2.14%","1.777M","292,626","86.2M","2024-10-13 13:16:58"
"Subsocial USD","0.002096","+0.000263","+14.33%","1.773M","1,705","845.655M","2024-10-13 13:16:58"
"Vidya USD","0.045383","+0.000800","+1.79%","1.734M","343,396","38.197M","2024-10-13 13:16:58"
"Carrieverse USD","0.008268","+0.000007","+0.09%","1.717M","154,182","207.65M","2024-10-13 13:16:58"
"Efforce USD","0.003258","-0.000289","-8.15%","1.718M","9,012","527.136M","2024-10-13 13:16:58"
"Neurahub USD","0.020572","+0.000596","+2.98%","1.694M","6,254","82.344M","2024-10-13 13:16:58"
"Kommunitas USD","0.001304","-0.000033","-2.49%","1.693M","91,441","1.299B","2024-10-13 13:16:58"
"ETHAX USD","0.012382","+0.000126","+1.03%","1.686M","44","136.14M","2024-10-13 13:16:58"
"AssetMantle USD","0.001012","-0.000035","-3.36%","1.678M","68,500","1.658B","2024-10-13 13:16:58"
"Spheroid Universe USD","0.000846","-0.000000","-0.01%","1.676M","4","1.982B","2024-10-13 13:16:58"
"OpenLeverage USD","0.008887","-0.000175","-1.94%","1.676M","123,367","188.631M","2024-10-13 13:16:58"
"Valencia CF Fan Token USD","0.512605","-0.001186","-0.23%","1.668M","73,721","3.254M","2024-10-13 13:16:58"
"Blockchain Brawlers USD","0.001667","-0.000027","-1.62%","1.667M","263,498","1B","2024-10-13 13:16:58"
"Permission Coin USD","0.000103","-0.000003","-2.54%","1.664M","352,038","16.167B","2024-10-13 13:16:58"
"Wrapped WDOGE USD","0.111672","+0.000938","+0.85%","1.664M","51,783","14.901M","2024-10-13 13:16:58"
"Exeedme USD","0.018182","+0.000025","+0.14%","1.662M","253,618","91.397M","2024-10-13 13:16:58"
"COINBAR PAY USD","0.000448","-0.000358","-44.46%","1.648M","333,881","3.681B","2024-10-13 13:16:58"
"ClinTex CTi USD","0.013436","-0.000613","-4.37%","1.672M","13,176","124.445M","2024-10-13 13:16:58"
"Affyn USD","0.006462","-0.000181","-2.73%","1.642M","63,741","254.034M","2024-10-13 13:16:58"
"Shezmu USD","2.7832","+0.2359","+9.26%","1.638M","35,107","588,703","2024-10-13 13:16:58"
"Soyjak USD","0.001766","-0.000520","-22.75%","1.636M","100,123","926.558M","2024-10-13 13:16:58"
"FireStarter USD","0.023714","-0.000561","-2.31%","1.625M","247,438","68.54M","2024-10-13 13:16:58"
"Coconut Chicken USD","0.000173","-0.000015","-7.77%","1.62M","26,881","9.34B","2024-10-13 13:16:58"
"Wombat Web 3 Gaming Platform USD","0.000350","+0.000002","+0.67%","1.616M","1,398","4.622B","2024-10-13 13:16:58"
"v.systems USD","0.000499","-0.000002","-0.48%","1.615M","781,637","3.239B","2024-10-13 13:16:58"
"BabySwap USD","0.002598","-0.000037","-1.42%","1.613M","20,573","620.896M","2024-10-13 13:16:58"
"Wrapped Harmony USD","0.011260","-0.000789","-6.55%","1.609M","1,351","142.879M","2024-10-13 13:16:58"
"ArkiTech USD","0.026149","+0.000596","+2.33%","1.606M","53,395","61.41M","2024-10-13 13:16:59"
"Geeq USD","0.041633","-0.001460","-3.39%","1.604M","189,538","38.522M","2024-10-13 13:16:59"
"Strips Finance USD","0.388528","+0.006081","+1.59%","1.603M","94","4.126M","2024-10-13 13:16:59"
"Wrapped Klaytn USD","0.128086","-0.001287","-1.00%","1.593M","3,515","12.434M","2024-10-13 13:16:59"
"MOTH USD","0.001587","-0.000108","-6.35%","1.587M","17,268","999.998M","2024-10-13 13:16:59"
"Arcana Network USD","0.020959","-0.000222","-1.05%","1.585M","225,375","75.621M","2024-10-13 13:16:59"
"Cypherium USD","0.004138","+0.000030","+0.72%","1.585M","5,300","382.951M","2024-10-13 13:16:59"
"Battle World USD","0.001892","-0.000010","-0.52%","1.572M","108,258","830.881M","2024-10-13 13:16:59"
"Algebra USD","0.004422","+0.000159","+3.73%","1.57M","3,050","355.037M","2024-10-13 13:16:59"
"Venus DOT USD","0.094250","-0.001717","-1.79%","1.569M","5.668M","16.649M","2024-10-13 13:16:59"
"BASE USD","0.00000169","-0.00000016","-8.81%","1.568M","15,561","929.459B","2024-10-13 13:16:59"
"Meme Ai USD","0.002151","-0.000296","-12.10%","1.566M","120,424","728.044M","2024-10-13 13:16:59"
"Infinity PAD USD","0.001561","0.000000","0.00%","1.561M","42","1B","2024-10-13 13:16:59"
"Unbound USD","0.000489","-0.000013","-2.66%","1.55M","19,582","3.17B","2024-10-13 13:16:59"
"Cheems USD","0.00000000","-0.00000000","-16.79%","1.559M","789,665","420.69T","2024-10-13 13:16:59"
"Aegis USD","0.009052","-0.000637","-6.58%","1.555M","76,161","171.749M","2024-10-13 13:16:59"
"BizAuto USD","0.001061","-0.000094","-8.12%","1.554M","158,137","1.464B","2024-10-13 13:16:59"
"NanoByte Token USD","0.001643","+0.000109","+7.11%","1.551M","3,622","944.183M","2024-10-13 13:16:59"
"TenX USD","0.007535","+0.000057","+0.76%","1.546M","1,537","205.218M","2024-10-13 13:16:59"
"Thetan World USD","0.013755","-0.000170","-1.22%","1.562M","221,973","113.585M","2024-10-13 13:16:59"
"S.C. Corinthians Fan Token USD","0.182030","+0.001967","+1.09%","1.541M","14,556","8.463M","2024-10-13 13:16:59"
"LightLink USD","0.018726","+0.000112","+0.60%","1.529M","206,974","81.67M","2024-10-13 13:16:59"
"My DeFi Pet USD","0.036616","-0.002756","-7.00%","1.525M","57,730","41.658M","2024-10-13 13:16:59"
"DOGAMÍ USD","0.003031","+0.000004","+0.12%","1.516M","12,800","500.24M","2024-10-13 13:16:59"
"MCOIN USD","0.001516","+0.000011","+0.76%","1.516M","9,299","1B","2024-10-13 13:16:59"
"Hourglass USD","0.015449","+0.000142","+0.93%","1.51M","917","97.752M","2024-10-13 13:16:59"
"Dock USD","0.001721","+0.000031","+1.82%","1.508M","59,702","876.417M","2024-10-13 13:16:59"
"City Tycoon Games USD","0.150469","-0.000772","-0.51%","1.505M","61,260","10M","2024-10-13 13:16:59"
"MARS4 USD","0.000607","-0.000001","-0.09%","1.507M","199,721","2.483B","2024-10-13 13:16:59"
"Saakuru Protocol USD","0.007247","-0.000093","-1.27%","1.487M","353,549","205.178M","2024-10-13 13:16:59"
"DxChain Token USD","0.000030","+0.000000","+0.91%","1.484M","179","50B","2024-10-13 13:17:00"
"KickToken USD","0.012170","-0.000158","-1.28%","1.482M","0","121.741M","2024-10-13 13:17:00"
"Jobchain USD","0.000150","-0.000006","-3.56%","1.479M","731","9.865B","2024-10-13 13:17:00"
"Apollo Currency USD","0.000069","-0.000000","-0.00%","1.47M","17","21.165B","2024-10-13 13:17:00"
"X World Games USD","0.000430","+0.000014","+3.28%","1.469M","58,146","3.418B","2024-10-13 13:17:00"
"Pickle Finance USD","0.768613","+0.037375","+5.11%","1.467M","11","1.908M","2024-10-13 13:17:00"
"Wecan Group USD","0.001765","+0.000017","+0.95%","1.46M","3,931","827.373M","2024-10-13 13:17:00"
"SOMESING USD","0.000448","-0.000003","-0.68%","1.457M","945,916","3.253B","2024-10-13 13:17:00"
"CheckDot USD","0.189016","+0.008039","+4.44%","1.464M","21,484","7.746M","2024-10-13 13:17:00"
"Tamadoge USD","0.001016","-0.000043","-4.03%","1.416M","53,611","1.393B","2024-10-13 13:17:00"
"LandRocker USD","0.001470","-0.000036","-2.40%","1.453M","373,115","988.812M","2024-10-13 13:17:00"
"Reality Metaverse USD","0.005820","+0.000143","+2.53%","1.454M","223,365","249.893M","2024-10-13 13:17:00"
"Fenerbahçe Token USD","0.662869","-0.000030","-0.00%","1.445M","4.394M","2.18M","2024-10-13 13:17:00"
"Unfettered Ecosystem USD","0.001256","-0.000049","-3.77%","1.438M","41,798","1.145B","2024-10-13 13:17:00"
"VinuChain USD","0.020662","+0.001752","+9.27%","1.437M","31,929","69.547M","2024-10-13 13:17:00"
"Moss Carbon Credit USD","0.503506","+0.007562","+1.52%","1.436M","175","2.851M","2024-10-13 13:17:00"
"Morpheus Labs USD","0.002812","+0.000050","+1.81%","1.434M","141","509.958M","2024-10-13 13:17:00"
"MAX Exchange Token USD","0.290453","-0.003900","-1.33%","1.404M","239,613","4.833M","2024-10-13 13:17:00"
"xHashtag AI USD","0.021162","+0.000054","+0.26%","1.4M","955","66.169M","2024-10-13 13:17:00"
"Göztepe S.K. Fan Token USD","0.591637","+0.014027","+2.43%","1.396M","113,384","2.36M","2024-10-13 13:17:00"
"Ethernity CLOUD USD","0.003026","+0.000299","+10.96%","1.39M","12,258","459.468M","2024-10-13 13:17:00"
"Primecoin USD","0.026970","-0.001415","-4.98%","1.382M","3","51.231M","2024-10-13 13:17:00"
"SafeCoin USD","0.049431","-0.041781","-45.81%","1.371M","4","27.735M","2024-10-13 13:17:00"
"ZooKeeper USD","0.002913","+0.000213","+7.90%","1.365M","406","468.627M","2024-10-13 13:17:00"
"K9 Finance USD","0.00000996","-0.00000002","-0.20%","1.358M","257,413","136.365B","2024-10-13 13:17:00"
"OneFinity USD","0.309102","-0.007948","-2.51%","1.351M","59,198","4.372M","2024-10-13 13:17:00"
"Lynex USD","0.046184","-0.000290","-0.62%","1.347M","37,255","29.166M","2024-10-13 13:17:01"
"Polkamarkets USD","0.014940","+0.000624","+4.36%","1.34M","162,049","89.658M","2024-10-13 13:17:01"
"Attila USD","0.002971","-0.000596","-16.70%","1.338M","0","450.383M","2024-10-13 13:17:01"
"MindAI USD","3.3681","+0.0356","+1.07%","1.338M","9,600","397,223","2024-10-13 13:17:01"
"BOLT USD","0.001393","-0.000508","-26.72%","1.334M","16,125","957.428M","2024-10-13 13:17:01"
"Dotmoovs USD","0.001814","-0.000039","-2.12%","1.326M","709,911","731.18M","2024-10-13 13:17:01"
"What's Updog USD","0.001319","+0.000148","+12.60%","1.319M","35,999","999.962M","2024-10-13 13:17:01"
"MBD Financials USD","0.000050","-0.000006","-10.17%","1.323M","28,377","26.223B","2024-10-13 13:17:01"
"Sheboshis USD","66.05","+2.72","+4.29%","1.321M","564","20,000","2024-10-13 13:17:01"
"ACENT USD","0.002179","+0.000040","+1.86%","1.32M","43,484","606M","2024-10-13 13:17:01"
"Titan Trading Platform USD","0.131813","-0.002981","-2.21%","1.318M","697","10M","2024-10-13 13:17:01"
"PUPS (Ordinals) [Old] USD","0.167034","-17.893799","-99.08%","1.298M","195,270","7.77M","2024-10-13 13:17:01"
"Thrupenny USD","0.015290","-0.000494","-3.13%","1.339M","20,821","87.596M","2024-10-13 13:17:01"
"Deri Protocol USD","0.010360","-0.000289","-2.71%","1.292M","5,849","124.696M","2024-10-13 13:17:01"
"OTOCASH USD","0.034986","-0.000001","-0.00%","1.288M","28","36.821M","2024-10-13 13:17:01"
"hiPENGUINS USD","0.030006","0.000000","0.00%","1.284M","7,763","42.79M","2024-10-13 13:17:01"
"Cryowar USD","0.004918","-0.000192","-3.76%","1.279M","9,748","260M","2024-10-13 13:17:01"
"IBStoken USD","0.001189","-0.000006","-0.50%","1.282M","0","1.078B","2024-10-13 13:17:01"
"StreamCoin USD","0.000858","-0.000060","-6.58%","1.281M","376,176","1.493B","2024-10-13 13:17:01"
"Chain-key Ethereum USD","2,400.40","-69.95","-2.83%","1.272M","45,293","529","2024-10-13 13:17:01"
"Rebel Bots USD","0.010275","+0.000180","+1.78%","1.267M","122","123.295M","2024-10-13 13:17:01"
"My Crypto Heroes USD","0.045923","+0.001920","+4.36%","1.256M","422,059","27.356M","2024-10-13 13:17:01"
"Integritee Network USD","0.315426","-0.000090","-0.03%","1.255M","2,590","3.978M","2024-10-13 13:17:01"
"Dfyn Network USD","0.007281","-0.000007","-0.10%","1.251M","26,328","171.877M","2024-10-13 13:17:01"
"Portuma USD","0.000330","-0.000033","-9.09%","1.249M","293,631","3.785B","2024-10-13 13:17:01"
"Moby USD","0.030169","+0.000050","+0.17%","1.243M","51,752","41.196M","2024-10-13 13:17:01"
"BBS Network USD","0.022443","+0.000024","+0.11%","1.24M","220","55.262M","2024-10-13 13:17:01"
"KISSAN USD","0.057907","+0.000449","+0.78%","1.237M","43,706","21.36M","2024-10-13 13:17:01"
"Polkacity USD","0.006479","-0.000110","-1.67%","1.231M","569,451","190.026M","2024-10-13 13:17:01"
"Xodex USD","0.000180","+0.000008","+4.83%","1.227M","127,959","6.801B","2024-10-13 13:17:01"
"CONTRACOIN USD","0.023980","-0.000002","-0.01%","1.224M","6","51.025M","2024-10-13 13:17:02"
"SpiritSwap USD","0.002270","-0.000008","-0.36%","1.222M","4,273","538.511M","2024-10-13 13:17:02"
"Kromatika USD","0.015153","+0.000004","+0.02%","1.217M","3,587","80.281M","2024-10-13 13:17:02"
"Fofar (fofar.meme) USD","0.001292","-0.000189","-12.74%","1.227M","750,574","949.992M","2024-10-13 13:17:02"
"Aurox USD","2.3267","-0.0196","-0.84%","1.214M","1,089","521,929","2024-10-13 13:17:02"
"Hudi USD","0.059968","+0.000368","+0.62%","1.209M","271","20.161M","2024-10-13 13:17:02"
"Gorilla USD","0.001416","-0.000025","-1.74%","1.206M","12,105","851.866M","2024-10-13 13:17:02"
"Standard USD","0.013896","-0.000243","-1.72%","1.189M","169,796","85.575M","2024-10-13 13:17:02"
"FREEdom Coin USD","0.00000012","-0.00000000","-1.27%","1.187M","165,031","9.939T","2024-10-13 13:17:02"
"BSCS USD","0.004646","+0.000026","+0.55%","1.183M","149,342","254.562M","2024-10-13 13:17:02"
"GNY USD","0.006124","+0.000034","+0.55%","1.178M","32,316","192.377M","2024-10-13 13:17:02"
"Trog USD","0.00000279","-0.00000008","-2.92%","1.175M","12,892","420.69B","2024-10-13 13:17:02"
"Mirror Protocol USD","0.015023","+0.000019","+0.13%","1.168M","48,247","77.743M","2024-10-13 13:17:02"
"DinoLFG USD","0.003727","-0.000301","-7.47%","1.166M","25,200","312.948M","2024-10-13 13:17:02"
"Grove Coin USD","0.012296","-0.000102","-0.82%","1.169M","241,186","95.083M","2024-10-13 13:17:02"
"Ghost USD","0.044460","+0.002180","+5.16%","1.159M","21","26.074M","2024-10-13 13:17:02"
"WAM USD","0.002493","-0.000167","-6.28%","1.159M","104,115","464.78M","2024-10-13 13:17:02"
"MetaBeat USD","0.001484","+0.000058","+4.08%","1.158M","10,548","779.828M","2024-10-13 13:17:02"
"Edu3Labs USD","0.011081","-0.000718","-6.08%","1.157M","406,133","104.375M","2024-10-13 13:17:02"
"Renewable Energy USD","0.00000000","+0.00000000","+0.03%","1.154M","926,329","20,117.704T","2024-10-13 13:17:02"
"Onigiri USD","0.00000282","-0.00000016","-5.36%","1.15M","31,421","407.983B","2024-10-13 13:17:02"
"Green Shiba Inu (new) USD","0.00000032","-0.00000000","-1.34%","1.148M","25,768","3.573T","2024-10-13 13:17:02"
"Powsche USD","0.012084","-0.002122","-14.94%","1.149M","23,986","95.05M","2024-10-13 13:17:02"
"Etho Protocol USD","0.014642","-0.002525","-14.71%","1.144M","44,186","78.12M","2024-10-13 13:17:02"
"3DPass USD","0.003509","-0.000209","-5.62%","1.143M","13,596","325.726M","2024-10-13 13:17:02"
"TrustVerse USD","0.001154","0.000000","0.00%","1.154M","9,323","1B","2024-10-13 13:17:02"
"PowerPool USD","0.026647","+0.000342","+1.30%","1.135M","601,685","42.575M","2024-10-13 13:17:02"
"Ariva USD","0.000016","-0.000000","-0.13%","1.129M","10,744","72.553B","2024-10-13 13:17:02"
"Carlo USD","0.001197","-0.000085","-6.59%","1.11M","43,574","926.932M","2024-10-13 13:17:02"
"K21 USD","0.060309","-0.000003","-0.00%","1.108M","3,762","18.379M","2024-10-13 13:17:02"
"DerivaDAO USD","0.042459","+0.000045","+0.11%","1.108M","15","26.095M","2024-10-13 13:17:03"
"Crowny USD","0.002370","-0.000015","-0.64%","1.095M","1,464","462.192M","2024-10-13 13:17:03"
"Ziktalk USD","0.002399","-0.000001","-0.04%","1.092M","985","455.257M","2024-10-13 13:17:03"
"Vestate USD","0.007593","+0.000618","+8.87%","1.091M","128,216","143.7M","2024-10-13 13:17:03"
"Kripto koin USD","0.000204","-0.000008","-3.56%","1.106M","49,306","5.42B","2024-10-13 13:17:03"
"Giant Mammoth USD","0.006604","-0.000194","-2.85%","1.08M","1.176M","163.524M","2024-10-13 13:17:03"
"OXBT (Ordinals) USD","0.005388","-0.000001","-0.01%","1.078M","76","200M","2024-10-13 13:17:03"
"Boss Token USD","0.00000000","-0.00000000","-7.13%","1.076M","565","398.318T","2024-10-13 13:17:03"
"Experimental Finance USD","0.022088","+0.001316","+6.34%","1.07M","7,878","48.432M","2024-10-13 13:17:03"
"ChainX USD","0.085707","-0.003203","-3.60%","1.072M","16,731","12.505M","2024-10-13 13:17:03"
"Gecko Inu USD","0.00000002","-0.00000000","-2.20%","1.064M","74,516","66.19T","2024-10-13 13:17:03"
"ZUM TOKEN USD","0.000031","+0.000000","+0.24%","1.063M","12","34.667B","2024-10-13 13:17:03"
"Revomon USD","0.032241","-0.000316","-0.97%","1.062M","56,331","32.934M","2024-10-13 13:17:03"
"XELS USD","0.053408","-0.000426","-0.79%","1.06M","51,169","19.851M","2024-10-13 13:17:03"
"Wrapped CANTO USD","0.016231","-0.000277","-1.68%","1.049M","75,764","64.655M","2024-10-13 13:17:03"
"ROD.AI USD","0.00000002","-0.00000000","-6.86%","1.048M","88,819","54.799T","2024-10-13 13:17:03"
"Integral USD","0.004844","+0.000044","+0.91%","1.049M","3,755","216.491M","2024-10-13 13:17:03"
"TenUp USD","0.009942","+0.000120","+1.22%","1.048M","277,239","105.372M","2024-10-13 13:17:03"
"Plastiks USD","0.006856","-0.000233","-3.28%","1.045M","196","152.452M","2024-10-13 13:17:03"
"Tokoin USD","0.000558","-0.000018","-3.13%","1.044M","22,936","1.871B","2024-10-13 13:17:03"
"Neutrino Index USD","0.020072","+0.000157","+0.79%","1.043M","2,573","51.981M","2024-10-13 13:17:03"
